iter	Logloss
0	0.6408448142
1	0.5921065351
2	0.5474873619
3	0.5055360219
4	0.4669911743
5	0.430662482
6	0.3974793298
7	0.3664185632
8	0.3388959603
9	0.3117515713
10	0.2864554829
11	0.2643352815
12	0.2439088815
13	0.2265694919
14	0.2105435173
15	0.1945182127
16	0.179939387
17	0.1649091658
18	0.1525084716
19	0.1398914718
20	0.128608907
21	0.1181843292
22	0.1086310387
23	0.0997902457
24	0.09257924144
25	0.08567352358
26	0.07874321381
27	0.07365116772
28	0.06785359598
29	0.06241306378
30	0.05762965257
31	0.05317787715
32	0.04914907217
33	0.0455206318
34	0.04182700547
35	0.03861108661
36	0.03575112678
37	0.03340917265
38	0.0312464682
39	0.02901885806
40	0.02681465502
41	0.02497296728
42	0.02330473315
43	0.02154000183
44	0.02001794447
45	0.01876151642
46	0.01747994238
47	0.0163382641
48	0.01516386113
49	0.0141677165
50	0.01325121349
51	0.01234471227
52	0.01151620109
53	0.01070681937
54	0.009928743478
55	0.009360014182
56	0.008693005726
57	0.008120903536
58	0.00756775294
59	0.007083781268
60	0.006729666888
61	0.006290675955
62	0.005943336403
63	0.005621900744
64	0.005294315526
65	0.005048319576
66	0.004725675395
67	0.004507655186
68	0.004231729588
69	0.003969198695
70	0.003766462695
71	0.00356412059
72	0.003382060594
73	0.003216541401
74	0.003032074764
75	0.002852960608
76	0.002691024806
77	0.002535840026
78	0.00239747612
79	0.002252774745
80	0.002132510039
81	0.002017695903
82	0.001942874186
83	0.001844695829
84	0.001777006338
85	0.001711721925
86	0.001611070267
87	0.001523410857
88	0.001436362756
89	0.001358821797
90	0.001287726173
91	0.001229742683
92	0.001166483922
93	0.00110803241
94	0.001047575191
95	0.000998247618
96	0.0009522164021
97	0.0009079080164
98	0.0008644463443
99	0.0008204283182
100	0.0007825861927
101	0.0007611540467
102	0.0007253992938
103	0.0006942444621
104	0.0006707091964
105	0.0006391134583
106	0.0006089512361
107	0.0005837753076
108	0.0005602664611
109	0.0005405793087
110	0.0005183538429
111	0.000497168561
112	0.0004771376138
113	0.0004589108287
114	0.0004413789222
115	0.0004251133159
116	0.0004109553072
117	0.000393024154
118	0.0003764226347
119	0.0003615721099
120	0.0003488177037
121	0.0003361769958
122	0.000322029684
123	0.0003103295498
124	0.0003010794662
125	0.0002905369348
126	0.0002803949732
127	0.00026984669
128	0.0002594175831
129	0.000249455664
130	0.000241194708
131	0.0002330538051
132	0.0002261231764
133	0.0002190034341
134	0.0002125225423
135	0.0002062952501
136	0.0001999766063
137	0.0001939429674
138	0.0001880885088
139	0.0001835849503
140	0.0001786439508
141	0.000172518417
142	0.0001669078736
143	0.0001613367717
144	0.0001570934721
145	0.0001526491148
146	0.0001494324334
147	0.000145285589
148	0.0001411804673
149	0.0001382533512
150	0.0001354437085
151	0.0001316379754
152	0.0001277620251
153	0.0001239690026
154	0.0001205928483
155	0.0001176525987
156	0.0001142498596
157	0.0001115550306
158	0.000108934196
159	0.000106404069
160	0.0001046515362
161	0.0001023315462
162	0.0001000009818
163	9.768278522e-05
164	9.546964072e-05
165	9.332402785e-05
166	9.131655375e-05
167	9.038516532e-05
168	8.844649565e-05
169	8.650562917e-05
170	8.464603793e-05
171	8.283336857e-05
172	8.109102236e-05
173	7.913129124e-05
174	7.761352844e-05
175	7.608865357e-05
176	7.459154115e-05
177	7.315627133e-05
178	7.222937372e-05
179	7.055429419e-05
180	6.971899057e-05
181	6.885881791e-05
182	6.806031857e-05
183	6.727795256e-05
184	6.648490406e-05
185	6.566138956e-05
186	6.523665194e-05
187	6.443424107e-05
188	6.362937258e-05
189	6.319845975e-05
190	6.277345562e-05
191	6.234853947e-05
192	6.192632945e-05
193	6.082125585e-05
194	6.04214876e-05
195	6.002368669e-05
196	5.96315321e-05
197	5.924561086e-05
198	5.886387638e-05
199	5.849188858e-05
